name,artist,img,Unique ID,Name,Artist,Popularity,Album ID,Album name,Release date,Genre,Subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration ms
Believer,Imagine Dragons,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,5VKSZDsidOFHrtlJb33Syo,Believer,Imagine Dragons,9,2iU0cUGlqNhNAPqoY54fMC,Evolve,2017-06-23,pop,post-teen pop,0.784,0.78,10,0.8837038744420929,0,0.102,0.0492,0.0,0.118,0.722,124.953,204347
ROXANNE,Arizona Zervas,https://i.scdn.co/image/ab67616d0000b273069a93617a916760ab88ffea,1ZPWWSwCkxKfqdp4H0RFCo,ROXANNE,Arizona Zervas,71,1BAHbTOKeZ1w0DeFSVi5Tn,ROXANNE,2019-10-10,pop,post-teen pop,0.621,0.601,6,0.8556042159964796,0,0.148,0.0522,0.0,0.46,0.457,116.735,163636
Say So,Doja Cat,https://i.scdn.co/image/ab67616d0000b27382b243023b937fd579a35533,3Dv1eDb0MEgF93GpLXlucZ,Say So,Doja Cat,88,1MmVkhiwTH0BkNOU3nw5d3,Hot Pink,2019-11-07,latin,latin pop,0.787,0.673,11,0.8773756888711941,0,0.158,0.256,3.5915492957746477e-06,0.0904,0.786,110.962,237893
Adore You,Harry Styles,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,1M4qEo4HE3PRaCOM7EXNJq,Adore You,Harry Styles,91,5SL9nXZYZZl68bHwaM8uLa,Adore You,2019-12-06,pop,dance pop,0.676,0.771,8,0.8962764285564612,1,0.0483,0.0237,7.04225352112676e-06,0.102,0.569,99.048,207133
Ride It,Regard,https://i.scdn.co/image/ab67616d0000b2735c27813ae019011fcb370c78,2tnVG71enUj33Ic2nFN6kZ,Ride It,Regard,94,4zOhjJfe0dwqsNdDYk622E,Ride It,2019-07-26,pop,dance pop,0.88,0.751,7,0.8840600968086666,0,0.0874,0.177,6.468812877263581e-05,0.106,0.884,117.948,157606
Sunday Best,Surfaces,https://i.scdn.co/image/ab67616d0000b2733667dc27da7b24360d6050d0,1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,Surfaces,81,3mMWlBGocBwsS1Q0o9wvlc,Where the Light Is,2019-01-06,pop,dance pop,0.878,0.525,5,0.8301238396580265,1,0.0578,0.183,0.0,0.0714,0.694,112.022,158571
Godzilla (feat. Juice WRLD),Eminem,https://i.scdn.co/image/ab67616d0000b2732f44aec83b20e40f3baef73c,7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),Eminem,79,4otkd9As6YaxxEkIjXPiZ6,Music To Be Murdered By,2020-01-17,pop,dance pop,0.808,0.745,10,0.8630639314376716,0,0.342,0.145,0.0,0.292,0.829,165.995,210800
Supalonely,BENEE,https://i.scdn.co/image/ab67616d0000b27382f4ec53c54bdd5be4eed4a0,4nK5YrxbMGZstTLbvj6Gxw,Supalonely,BENEE,67,3ZJSoxsPMkNC9eb6gUn0Q8,STELLA & STEVE,2019-11-15,pop,dance pop,0.863,0.631,7,0.8750288121031787,1,0.0534,0.305,3.058350100603621e-05,0.123,0.817,128.977,223480
7 rings,Ariana Grande,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8,6ocbgoVGwYJhOv1GgI9NsF,7 rings,Ariana Grande,90,2fYhqwDWXjbpjaIJPEfKFw,"thank u, next",2019-02-08,pop,post-teen pop,0.778,0.317,1,0.7484022379146323,0,0.334,0.592,0.0,0.0881,0.327,140.048,178627
Don't Start Now,Dua Lipa,https://i.scdn.co/image/ab67616d0000b2738583df1a14bea9175f9ac520,6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,97,0ix3XtPV1LwmZADsprKxcp,Don't Start Now,2019-10-31,pop,post-teen pop,0.794,0.793,11,0.8785491272552018,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290
Dior,Pop Smoke,https://i.scdn.co/image/ab67616d0000b2738fe5d04b06aff90f9fe796f5,79s5XnCN4TJKTVMSmOx8Ep,Dior,Pop Smoke,76,6d1vGZsr6Uy3h9IigBpPAf,Meet The Woo,2019-07-26,rap,hip hop,0.548,0.805,7,0.853173522201035,1,0.351,0.212,0.0003913480885311871,0.408,0.648,142.094,216387
Lose Control,MEDUZA,https://i.scdn.co/image/ab67616d0000b273d43c59e52d6a8032a4e27fc4,7CHi4DtfK4heMlQaudCuHK,Lose Control,MEDUZA,91,1qSOaTvsCOyFJya3v1UzkP,Lose Control,2019-10-11,pop,dance pop,0.598,0.526,10,0.7918404123797749,0,0.0415,0.129,0.0,0.14,0.529,123.935,168387
Say You Won't Let Go,James Arthur,https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab,1Pw5C4N6Fn5E4mGCxmbbVa,Say You Won't Let Go,James Arthur,76,0BL67dR6x0CPU7B7J9P8qC,Say You Won't Let Go,2016-09-09,pop,dance pop,0.4,0.564,10,0.8172998344613708,1,0.0523,0.693,0.0,0.0863,0.483,99.269,211240
hot girl bummer,blackbear,https://i.scdn.co/image/ab67616d0000b2730b7c6d46885f7434c99e6d8b,7aiClxsDWFRQ0Kzk5KI5ku,hot girl bummer,blackbear,94,37CqAwxTungNxKpIK5vSgE,hot girl bummer,2019-08-23,pop,post-teen pop,0.778,0.559,6,0.8243195105085598,0,0.0776,0.128,0.0,0.399,0.678,129.989,185093
when the party's over,Billie Eilish,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,14JzyD6FlBD5z0wV5P07YI,when the party's over,Billie Eilish,26,2DfPdWWXknoGKrfa2Eicyw,when the party's over,2018-10-17,r&b,urban contemporary,0.498,0.104,1,0.6782473859564571,0,0.0621,0.979,7.907444668008048e-05,0.0895,0.205,124.001,199931
All of Me,John Legend,https://i.scdn.co/image/ab67616d0000b27394c9217a398f5174757c0c78,3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,85,4OTAx9un4e6NfoHuVRiOrC,Love In The Future (Expanded Edition),2013-08-30,pop,dance pop,0.422,0.264,8,0.8252624520671374,1,0.0322,0.922,0.0,0.132,0.331,119.93,269560
"10,000 Hours (with Justin Bieber)",Dan + Shay,https://i.scdn.co/image/ab67616d0000b27386953b1cbaa29e477db0b479,2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",Dan + Shay,91,4ow6xJwn49gpWz7iHpOzWY,"10,000 Hours (with Justin Bieber)",2019-10-04,pop,post-teen pop,0.654,0.63,10,0.8759717536617564,1,0.0259,0.153,0.0,0.111,0.43,89.991,167693
feel something,Bea Miller,https://i.scdn.co/image/ab67616d0000b27337b16e42d8ac8413bb2dc6ed,7JDWhC422Gtk1Bq0mL3OTC,feel something,Bea Miller,67,6qLQLAHnS54MLHY8wxXDX5,feel something,2019-06-21,pop,indie poptimism,0.74,0.415,0,0.7864970768811683,1,0.0707,0.242,0.00015694164989939636,0.319,0.156,136.029,180161
Shape of You,Ed Sheeran,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,86,3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,pop,dance pop,0.825,0.652,1,0.9065859229302432,0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713
Señorita,Shawn Mendes,https://i.scdn.co/image/ab67616d0000b273e6095c382c2853667c1623eb,0TK2YIli7K1leLovkQiNik,Señorita,Shawn Mendes,93,2ZaX1FdZCwchXl1QZiD4O4,Señorita,2019-06-21,pop,dance pop,0.759,0.54,9,0.84674056534585,0,0.0287,0.037,0.0,0.0945,0.75,116.947,190960
Life Is Good (feat. Drake),Future,https://i.scdn.co/image/ab67616d0000b2738a01c7b77a34378a62f46402,5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),Future,93,5uCEoLCj3ZZZ1EtzQdQWVl,Life Is Good (feat. Drake),2020-01-10,rap,hip hop,0.676,0.609,2,0.8510990507721643,0,0.481,0.0706,0.0,0.152,0.508,142.037,237735
Dancing With A Stranger (with Normani),Sam Smith,https://i.scdn.co/image/ab67616d0000b2733b52eca47232bedfbb5e9443,6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),Sam Smith,87,1V9oE8bVilClrk5naqyyvL,Dancing With A Stranger (with Normani),2019-01-11,pop,dance pop,0.741,0.52,8,0.8158539907382184,1,0.0656,0.45,1.9818913480885314e-06,0.222,0.347,102.998,171030
It's You,Ali Gatie,https://i.scdn.co/image/ab67616d0000b27350a744f0ef5c3e260d9de720,6moU77g9RQyMzHNuKEaQKq,It's You,Ali Gatie,68,40vQONzvJb6sKejDN3eWza,It's You,2019-06-14,pop,post-teen pop,0.732,0.463,11,0.8271902436980072,0,0.0287,0.374,0.0,0.194,0.397,95.971,212607
OUT WEST (feat. Young Thug),JACKBOYS,https://i.scdn.co/image/ab67616d0000b273dfc2f59568272de50a257f2f,6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),JACKBOYS,87,1Sf8GsXG32t0jNrX11xqWx,JACKBOYS,2019-12-27,rap,hip hop,0.802,0.591,8,0.8707122351905789,1,0.225,0.0104,0.0,0.196,0.309,139.864,157712
Maniac,Conan Gray,https://i.scdn.co/image/ab67616d0000b27388e3cda6d29b2552d4d6bc43,7hpJ9tATWb2vztlq99hERP,Maniac,Conan Gray,85,4x1U4pmSekLejbWCRI0SES,Maniac,2019-10-25,r&b,hip pop,0.623,0.647,8,0.8593340737170756,1,0.04,0.00122,0.0,0.354,0.522,107.987,185787
Pumped Up Kicks,Foster The People,https://i.scdn.co/image/ab67616d0000b273c03f8ef4160b2a3b72dd407d,7w87IxuO7BDcJ3YUqCyMTT,Pumped Up Kicks,Foster The People,83,7Kmmw7Z5D2UD5MVwdm10sT,Torches,2011-05-23,pop,dance pop,0.733,0.71,5,0.8507218741487332,0,0.0292,0.145,0.11569416498993963,0.0956,0.965,127.975,239600
"thank u, next",Ariana Grande,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8,3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next",Ariana Grande,87,2fYhqwDWXjbpjaIJPEfKFw,"thank u, next",2019-02-08,pop,post-teen pop,0.717,0.653,1,0.8552270393730486,1,0.0658,0.229,0.0,0.101,0.412,106.966,207320
The Scientist,Coldplay,https://i.scdn.co/image/ab67616d0000b273ad6f442ecac8735b9285a923,75JFxkI2RXiU7L9VXzMkle,The Scientist,Coldplay,83,0RHX9XECH8IVI3LNgWDpmQ,A Rush of Blood to the Head,2002-08-08,pop,electropop,0.56,0.442,5,0.8219097709699725,1,0.0243,0.727,1.720321931589537e-05,0.11,0.212,146.448,309600
Thunder,Imagine Dragons,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,7BrsBU0BAytRDvROM4yCbn,Thunder,Imagine Dragons,11,2iU0cUGlqNhNAPqoY54fMC,Evolve,2017-06-23,pop,post-teen pop,0.601,0.809,0,0.8724095299960186,1,0.0441,0.00763,0.07615694164989939,0.145,0.249,167.96,187147
Bruises,Lewis Capaldi,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,4Of7rzpRpV1mWRbhp5rAqG,Bruises,Lewis Capaldi,86,5658aM19fA3JVwTK6eQX70,Divinely Uninspired To A Hellish Extent,2019-05-17,pop,post-teen pop,0.736,0.308,4,0.8092114913144605,1,0.0677,0.946,0.0,0.186,0.361,111.202,220492
July,Noah Cyrus,https://i.scdn.co/image/ab67616d0000b2737f66b73bd6e86f4c8d2a7692,5a6pdCHlWS2ekOOQ70QnAr,July,Noah Cyrus,88,2YQptVBjUJeIOBavD1AyXg,July,2019-07-31,pop,post-teen pop,0.708,0.186,9,0.7856798608637344,0,0.0422,0.868,0.0,0.0779,0.321,72.541,156107
No Guidance (feat. Drake),Chris Brown,https://i.scdn.co/image/ab67616d0000b2739e588b0c2afe8178b2b76231,6XHVuErjQ4XNm6nDPVCxVX,No Guidance (feat. Drake),Chris Brown,85,1BfLzaTFI5qKsAAk0Ae6aV,Indigo,2019-06-28,latin,latin pop,0.698,0.454,1,0.8317163631791797,0,0.151,0.123,0.0,0.155,0.137,92.932,260640
Ballin' (with Roddy Ricch),Mustard,https://i.scdn.co/image/ab67616d0000b27393b1e96fad758869d0974162,3QzAOrNlsabgbMwlZt7TAY,Ballin' (with Roddy Ricch),Mustard,90,2WrNHOba5u6P9S9xEboaUy,Perfect Ten,2019-06-28,rap,hip hop,0.809,0.545,7,0.8333507952140478,1,0.0735,0.392,0.0,0.151,0.244,97.008,180435
Jangueo,Alex Rose,https://i.scdn.co/image/ab67616d0000b273462c6ba1c246cc8aeb62086c,5m3jpKkgkfoMcym1qjToFg,Jangueo,Alex Rose,76,0owN7Uk2MRirowjo9PQv14,LOST,2019-11-08,latin,latin pop,0.851,0.688,11,0.8886700333172683,1,0.0565,0.238,1.9416498993963782e-05,0.105,0.732,103.982,259600
Bandit (with YoungBoy Never Broke Again),Juice WRLD,https://i.scdn.co/image/ab67616d0000b2735b4bee4c0dfe7f1ec4b2cc6d,6Gg1gjgKi2AK4e0qzsR7sd,Bandit (with YoungBoy Never Broke Again),Juice WRLD,92,3t6Z2qoBVCS4NHNI25XECH,Bandit (with YoungBoy Never Broke Again),2019-10-04,pop,dance pop,0.474,0.631,5,0.8499884751587284,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323
Pa' Olvidarme De Ella,Piso 21,https://i.scdn.co/image/ab67616d0000b27326dfdcfae1c961172197a362,1cVlW9WQiGlFdWUXFdFZGh,Pa' Olvidarme De Ella,Piso 21,86,6NSiAkMa61CjJI9AHqOhuZ,Pa' Olvidarme De Ella,2019-09-06,latin,latin pop,0.728,0.542,0,0.8644259581333947,1,0.0514,0.259,0.0,0.136,0.637,90.016,227234
Boy With Luv (feat. Halsey),BTS,https://i.scdn.co/image/ab67616d0000b27329d00196831bec20ebbff5c7,5KawlOMHjWeUjQtnuRs22c,Boy With Luv (feat. Halsey),BTS,85,1AvXa8xFEXtR3hb4bgihIK,MAP OF THE SOUL : PERSONA,2019-04-12,pop,dance pop,0.645,0.862,11,0.8736039226368837,0,0.0965,0.0923,0.0,0.192,0.798,119.991,229773
Thinking out Loud,Ed Sheeran,https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd,1Slwb6dOYkBlWal1PGtnNg,Thinking out Loud,Ed Sheeran,67,6NoBzYmh5gUusGPCfg0pct,x (Wembley Edition),2013,pop,post-teen pop,0.781,0.445,2,0.8462795716949898,1,0.0295,0.474,0.0,0.184,0.591,78.998,281560
Hips Don't Lie (feat. Wyclef Jean),Shakira,https://i.scdn.co/image/ab67616d0000b27327ddd747545c0d0cfe7595fa,3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),Shakira,80,5ppnlEoj4HdRRdRihnY3jU,"Oral Fixation, Vol. 2 (Expanded Edition)",2005-11-28,pop,post-teen pop,0.778,0.824,10,0.8498208411038702,0,0.0712,0.284,0.0,0.405,0.756,100.024,218093
Starboy,The Weeknd,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd,84,2ODvWsOgouMbaA5xf0RkJe,Starboy,2016-11-25,pop,post-teen pop,0.678,0.588,7,0.8262892106531441,1,0.276,0.141,6.388329979879275e-06,0.137,0.486,186.005,230453
Every Breath You Take,The Police,https://i.scdn.co/image/ab67616d0000b273c8e97cafeb2acb85b21a777e,0SNGe4xksgp7CGnY5kMXOJ,Every Breath You Take,The Police,67,0CTCk1eshEadFqZ4NBfe9N,Stranger Things (Soundtrack from the Netflix Original Series),2017-10-27,pop,electropop,0.822,0.478,1,0.7900173920331914,1,0.0343,0.559,0.007344064386317907,0.0813,0.722,117.394,251573
BOP,DaBaby,https://i.scdn.co/image/ab67616d0000b273f2b94b2fda4f08836d6371ba,6Ozh9Ok6h4Oi1wUSLtBseN,BOP,DaBaby,93,1NsTSXjVNE7XmZ8PmyW0wl,KIRK,2019-09-27,rap,hip hop,0.769,0.787,11,0.8913731324518576,1,0.367,0.189,0.0,0.129,0.836,126.77,159715
Fuck Love (feat. Trippie Redd),XXXTENTACION,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,7AQim7LbvFVZJE3O8TYgf2,Fuck Love (feat. Trippie Redd),XXXTENTACION,84,5VdyJkLe3yvOs0l4xXbWp0,17,2017-08-25,rap,trap,0.797,0.533,0,0.7691888607170546,0,0.0412,0.0172,0.00015291750503018109,0.103,0.329,131.036,146520
Do I Wanna Know?,Arctic Monkeys,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,82,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,rock,permanent wave,0.548,0.532,5,0.8141147874190642,1,0.0323,0.186,0.0002645875251509054,0.217,0.405,85.03,272394
Take on Me,a-ha,https://i.scdn.co/image/ab67616d0000b273e8dd4db47e7177c63b0b7d53,2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,a-ha,83,1ER3B6zev5JEAaqhnyyfbf,Hunting High and Low,1985-06-01,pop,post-teen pop,0.573,0.902,6,0.8132347086310584,0,0.054,0.018,0.0012575452716297787,0.0928,0.876,84.412,225280
Watermelon Sugar,Harry Styles,https://i.scdn.co/image/ab67616d0000b2737cf2b9825bb43083d123ac22,1e9oZCCiX42nJl0AcqriVo,Watermelon Sugar,Harry Styles,90,659e2eKbsMH0vYCs5qgFmy,Watermelon Sugar,2019-11-17,pop,post-teen pop,0.548,0.816,0,0.8850868553946734,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000
XO Tour Llif3,Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b27341b41e6f7924e530a9b00f9c,7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,Lil Uzi Vert,84,733e1ZfktLSwj96X5rsMeE,Luv Is Rage 2,2017-08-25,pop,electropop,0.732,0.75,11,0.8398885233535193,0,0.231,0.00264,0.0,0.109,0.401,155.096,182707
Old Town Road - Remix,Lil Nas X,https://i.scdn.co/image/ab67616d0000b273c0e7bf5cdd630f314f20586a,2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,Lil Nas X,90,4IRiXE5NROxknUSAUSjMoO,7 EP,2019-06-21,pop,post-teen pop,0.878,0.619,6,0.8567776543804874,1,0.102,0.0533,0.0,0.113,0.639,136.041,157067
I Don't Care (with Justin Bieber),Ed Sheeran,https://i.scdn.co/image/ab67616d0000b27357cc434093fd4b6af7500fd8,0hVXuCcriWRGvwMV1r5Yn9,I Don't Care (with Justin Bieber),Ed Sheeran,84,3oIFxDIo2fwuk4lwCmFZCx,No.6 Collaborations Project,2019-07-12,pop,post-teen pop,0.798,0.675,6,0.867652913689416,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947
Wow.,Post Malone,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,6MWtB6iiXyIwun0YzU6DFP,Wow.,Post Malone,44,5Dcz8PZHKuvTyjbqEPL5VM,Wow.,2018-12-24,pop,electropop,0.833,0.539,11,0.8182427760199484,0,0.178,0.163,2.1126760563380276e-06,0.101,0.385,99.947,149520
Hola - Remix,Dalex,https://i.scdn.co/image/ab67616d0000b2738f0f79f8cb6c758356ec53b6,5stPVcRqb4qixbafP9e8lt,Hola - Remix,Dalex,91,65Pp2tO1Ul66KcCmmkRGWZ,Hola (Remix),2019-11-01,latin,latin pop,0.654,0.672,0,0.8479768665004295,0,0.311,0.471,0.0,0.0781,0.343,181.857,249520
Higher Love,Kygo,https://i.scdn.co/image/ab67616d0000b2737c8977a0ad3a3a0627be9ed7,6oJ6le65B3SEqPwMRNXWjY,Higher Love,Kygo,87,4wquJImu8RtyEuDtIAsfcE,Higher Love,2019-06-28,pop,dance pop,0.693,0.678,8,0.8232717976656958,1,0.0324,0.0154,6.086519114688128e-06,0.101,0.404,103.952,228267
This City,Sam Fischer,https://i.scdn.co/image/ab67616d0000b27370e6c775adc0f71e6bef0a9b,3H3r2nKWa3Yk5gt8xgmsEt,This City,Sam Fischer,76,5waiE6DS2ntWF3Q0yekJUm,This City,2019-12-13,latin,latin pop,0.602,0.377,11,0.8430945246526831,1,0.0446,0.731,0.0,0.0808,0.518,73.877,194853
How Do You Sleep?,Sam Smith,https://i.scdn.co/image/ab67616d0000b27376bc1c851462191faec76bf8,6b2RcmUt1g9N9mQ3CbjX2Y,How Do You Sleep?,Sam Smith,91,7baaCf70tVcUBL2bbkuXjo,How Do You Sleep?,2019-07-19,pop,post-teen pop,0.477,0.682,1,0.8699578819437168,0,0.0925,0.153,0.0,0.0763,0.345,110.567,202205
Something Just Like This,The Chainsmokers,https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers,83,4JPguzRps3kuWDD5GS6oXr,Memories...Do Not Open,2017-04-07,pop,dance pop,0.617,0.635,11,0.8314439578400352,0,0.0317,0.0498,1.448692152917505e-05,0.164,0.446,103.019,247160
LA CANCIÓN,J Balvin,https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb,0fea68AdmYNygeTGI4RC18,LA CANCIÓN,J Balvin,91,6ylFfzx32ICw4L1A7YWNLN,OASIS,2019-06-28,pop,dance pop,0.754,0.646,7,0.8518534040190264,1,0.317,0.152,1.8611670020120723e-05,0.108,0.429,176.089,242573
Ransom,Lil Tecca,https://i.scdn.co/image/ab67616d0000b273bd69bbde4aeee723d6d08058,1lOe9qE0vR9zwWQAOk6CoO,Ransom,Lil Tecca,90,1I6FpscJIfwf4T56VxGVsB,We Love You Tecca,2019-08-30,pop,post-teen pop,0.745,0.642,7,0.8421725373509628,0,0.287,0.0204,0.0,0.0658,0.226,179.974,131240
Sucker,Jonas Brothers,https://i.scdn.co/image/ab67616d0000b273de1a3a5eaa0c75bb18e7b597,22vgEDb5hykfaTwLuskFGD,Sucker,Jonas Brothers,87,1Uf67JAtkVWfdydzFFqNF2,Happiness Begins,2019-06-07,pop,post-teen pop,0.842,0.734,1,0.8671500115248412,0,0.0588,0.0427,0.0,0.106,0.952,137.958,181027
Beautiful People (feat. Khalid),Ed Sheeran,https://i.scdn.co/image/ab67616d0000b273358f874d5d31e76a8fe3f6d0,70eFcWOvlMObDhURTqT4Fv,Beautiful People (feat. Khalid),Ed Sheeran,85,3oIFxDIo2fwuk4lwCmFZCx,No.6 Collaborations Project,2019-07-12,pop,post-teen pop,0.64,0.648,5,0.8032814366238501,0,0.187,0.124,0.0,0.0802,0.548,92.977,197867
