name,artist,img,Popularity,Genre,Subgenre
I Don't Care (with Justin Bieber),Ed Sheeran,https://i.scdn.co/image/ab67616d0000b27357cc434093fd4b6af7500fd8,84,pop,post-teen pop
Let Me Know (I Wonder Why Freestyle),Juice WRLD,https://i.scdn.co/image/ab67616d0000b273401ea2c7ac7ef87bd32c990f,84,rap,hip hop
Starboy,The Weeknd,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,84,pop,post-teen pop
Otro Trago,Sech,https://i.scdn.co/image/ab67616d0000b2738643435482956bab8aa6fcfe,84,latin,reggaeton
XO Tour Llif3,Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b27341b41e6f7924e530a9b00f9c,84,pop,electropop
Fuck Love (feat. Trippie Redd),XXXTENTACION,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,84,rap,trap
Mistletoe,Justin Bieber,https://i.scdn.co/image/ab67616d0000b2730315efc555d5a157b0392652,84,pop,post-teen pop
Bohemian Rhapsody - 2011 Mix,Queen,https://i.scdn.co/image/ab67616d0000b273f7b6f1d6b235e8e70ecc4407,84,rock,album rock
Peta (feat. Meek Mill),Roddy Ricch,https://i.scdn.co/image/ab67616d0000b273600adbc750285ea1a8da249f,84,rap,hip hop
Pop Out (feat. Lil Tjay),Polo G,https://i.scdn.co/image/ab67616d0000b273ae8b07ecdcf7aadefe00264f,84,rap,hip hop
Dancin (feat. Luvli) - Krono Remix,Aaron Smith,https://i.scdn.co/image/ab67616d0000b273f7a3a5656060030a0d24855c,84,pop,post-teen pop
EARFQUAKE,"Tyler, The Creator",https://i.scdn.co/image/ab67616d0000b2737005885df706891a3c182a57,84,rap,hip hop
6 Kiss,Trippie Redd,https://i.scdn.co/image/ab67616d0000b273cd81b9f0393348b6537c9d92,83,rap,hip hop
bad guy (with Justin Bieber),Billie Eilish,https://i.scdn.co/image/ab67616d0000b273a69b8b111a5fb8cb1c97e8eb,83,pop,dance pop
xanny,Billie Eilish,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,83,r&b,urban contemporary
Motivation,Normani,https://i.scdn.co/image/ab67616d0000b273b3cccc782ccb68faa42fcc17,83,pop,dance pop
Back In Black,AC/DC,https://i.scdn.co/image/ab67616d0000b273b56115c0e231fbf69d3205c6,83,pop,post-teen pop
SOS (feat. Aloe Blacc),Avicii,https://i.scdn.co/image/ab67616d0000b273660ee24281a547103f466ff5,83,pop,electropop
Post Malone (feat. RANI),Sam Feldt,https://i.scdn.co/image/ab67616d0000b27354de16ac6dc5346bfc1187f5,83,pop,dance pop
HAD ENOUGH (feat. Quavo & Offset),Don Toliver,https://i.scdn.co/image/ab67616d0000b273dfc2f59568272de50a257f2f,83,rap,hip hop
Giant (with Rag'n'Bone Man),Calvin Harris,https://i.scdn.co/image/ab67616d0000b273a9a9d8a16c0b4146fb707c02,83,pop,dance pop
Cuerpo en Venta,Noriel,https://i.scdn.co/image/ab67616d0000b2735d67775720b260f1d40ea100,83,latin,reggaeton
"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://i.scdn.co/image/ab67616d0000b2736d38bbfd2631c232763e3ddf,83,r&b,hip pop
Hot (feat. Gunna),Young Thug,https://i.scdn.co/image/ab67616d0000b2736fcd1b6e205d0d19d9efa0cc,83,rap,hip hop
On My Way,Alan Walker,https://i.scdn.co/image/ab67616d0000b273d2aaf635815c265aa1ecdecc,83,pop,dance pop
ORANGE SODA,Baby Keem,https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1,83,rap,hip hop
Immortal,21 Savage,https://i.scdn.co/image/ab67616d0000b273555d4944782c87c10ed07eec,83,rap,hip hop
Something Just Like This,The Chainsmokers,https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94,83,pop,dance pop
Used To Love (with Dean Lewis),Martin Garrix,https://i.scdn.co/image/ab67616d0000b273dcc28379ce36e6fbf9a311a0,83,pop,dance pop
Here With Me,Marshmello,https://i.scdn.co/image/ab67616d0000b2732cbb5f97a0853d1c7cbbe231,83,pop,dance pop
The Scientist,Coldplay,https://i.scdn.co/image/ab67616d0000b273ad6f442ecac8735b9285a923,83,pop,electropop
Young Dumb & Broke,Khalid,https://i.scdn.co/image/ab67616d0000b273988ede5e1276e758b5f9e577,83,pop,post-teen pop
High Fashion (feat. Mustard),Roddy Ricch,https://i.scdn.co/image/ab67616d0000b273600adbc750285ea1a8da249f,83,rap,hip hop
Be Alright,Dean Lewis,https://i.scdn.co/image/ab67616d0000b273a787f718fb485b66d6219247,83,r&b,urban contemporary
The London (feat. J. Cole & Travis Scott),Young Thug,https://i.scdn.co/image/ab67616d0000b273137c2d3150118e7157800c5b,83,rap,hip hop
Good as Hell,Lizzo,https://i.scdn.co/image/ab67616d0000b273bf7d271b8f3051af3cf0bf55,83,r&b,urban contemporary
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,https://i.scdn.co/image/ab67616d0000b27398a02fef3a8b1d80a0f164ec,83,pop,post-teen pop
Te Quemaste,Manuel Turizo,https://i.scdn.co/image/ab67616d0000b273c5c0424134778b0f0191aed2,83,rap,trap
Let You Down,NF,https://i.scdn.co/image/ab67616d0000b273cd733919ee57d0cc466e152f,83,latin,tropical
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,https://i.scdn.co/image/ab67616d0000b273d7658a5bf66a2f3f11878bdf,83,pop,dance pop
Take on Me,a-ha,https://i.scdn.co/image/ab67616d0000b273e8dd4db47e7177c63b0b7d53,83,pop,post-teen pop
Cuaderno,Dalex,https://i.scdn.co/image/ab67616d0000b273b9242ba03ab231608f123e06,83,rap,trap
Pumped Up Kicks,Foster The People,https://i.scdn.co/image/ab67616d0000b273c03f8ef4160b2a3b72dd407d,83,pop,dance pop
Make It Right (feat. Lauv),BTS,https://i.scdn.co/image/ab67616d0000b273d3a69900f8e3a32bb0cc5b07,83,pop,post-teen pop
New Rules,Dua Lipa,https://i.scdn.co/image/ab67616d0000b2736b915e407b70e121e06fe979,83,pop,dance pop
Verte Ir,DJ Luian,https://i.scdn.co/image/ab67616d0000b2736a0ac31ac69f887a0d1e5b4f,83,rap,trap
Shut Up and Dance,WALK THE MOON,https://i.scdn.co/image/ab67616d0000b27343294cfa2688055c9d821bf3,82,pop,post-teen pop
That's What I Like,Bruno Mars,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,82,pop,post-teen pop
La Boca - Remix,Mau y Ricky,https://i.scdn.co/image/ab67616d0000b273d0e01071b9196e27d38d0d71,82,latin,latin pop
Hop Off A Jet (feat. Travis Scott),Young Thug,https://i.scdn.co/image/ab67616d0000b273540db9d6bae7e57baecf8b49,82,rap,hip hop
F.N,Lil Tjay,https://i.scdn.co/image/ab67616d0000b273d2fe0b3a495888636cbed083,82,rap,hip hop
Good Thing (with Kehlani),Zedd,https://i.scdn.co/image/ab67616d0000b273c824820b3a74839b91b4036a,82,pop,dance pop
Love The Way You Lie,Eminem,https://i.scdn.co/image/ab67616d0000b273c08d5fa5c0f1a834acef5100,82,latin,latin hip hop
When I Was Your Man,Bruno Mars,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,82,latin,latin hip hop
GATTI,JACKBOYS,https://i.scdn.co/image/ab67616d0000b273dfc2f59568272de50a257f2f,82,rap,hip hop
Into the Unknown - Panic! At The Disco Version,Panic! At The Disco,https://i.scdn.co/image/ab67616d0000b2736ff59d18c018a2845758deed,82,pop,indie poptimism
Sweet Child O' Mine,Guns N' Roses,https://i.scdn.co/image/ab67616d0000b27321ebf49b3292c3f0f575f0f5,82,pop,electropop
Hotel California - 2013 Remaster,Eagles,https://i.scdn.co/image/ab67616d0000b273061849da201f99053bf5e788,82,rock,album rock
you were good to me,Jeremy Zucker,https://i.scdn.co/image/ab67616d0000b273d841ad4d4aa791514d7e9758,82,r&b,hip pop
Talk (feat. Disclosure),Khalid,https://i.scdn.co/image/ab67616d0000b273b361ce46dbadbf8a11081b60,82,latin,latin pop
Panini - DaBaby Remix,Lil Nas X,https://i.scdn.co/image/ab67616d0000b273de048a43d03fb53a466c1c9f,82,rap,gangster rap
Do I Wanna Know?,Arctic Monkeys,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,82,rock,permanent wave
Taste (feat. Offset),Tyga,https://i.scdn.co/image/ab67616d0000b273d38a9c6e4fcfeb128f111f6b,82,latin,latin pop
Heartless (feat. Morgan Wallen),Diplo,https://i.scdn.co/image/ab67616d0000b273d79c10cdf4a58309a37d195a,82,pop,post-teen pop
Graduation (with Juice WRLD),benny blanco,https://i.scdn.co/image/ab67616d0000b2739e714501730245ec76623000,82,pop,post-teen pop
No Role Modelz,J. Cole,https://i.scdn.co/image/ab67616d0000b273697892703ac3a0fc32c2b153,82,pop,electropop
Wolves,Selena Gomez,https://i.scdn.co/image/ab67616d0000b273307910d4242c0d6b1fedf955,82,pop,post-teen pop
IDGAF,Dua Lipa,https://i.scdn.co/image/ab67616d0000b2736b915e407b70e121e06fe979,82,pop,post-teen pop
my strange addiction,Billie Eilish,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,82,r&b,urban contemporary
Sanguine Paradise,Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b27334bf16d92ae11f8d3eadf295,82,rap,hip hop
Chanel,Frank Ocean,https://i.scdn.co/image/ab67616d0000b273a0b780c23fc3c19bd412b234,82,pop,electropop
God Is A Dancer (with Mabel),Tiësto,https://i.scdn.co/image/ab67616d0000b2731e3f58e2a9d74333ba8f2392,82,edm,big room
Ritual,Tiësto,https://i.scdn.co/image/ab67616d0000b273211bcd4f50464c15d7c7f111,82,pop,dance pop
Another One Bites The Dust - Remastered 2011,Queen,https://i.scdn.co/image/ab67616d0000b27307744e2ed983efa3e6620a47,82,rock,album rock
Death (feat. DaBaby),Trippie Redd,https://i.scdn.co/image/ab67616d0000b2733d7a85786292feb040e66ccc,82,rap,hip hop
No Se Me Quita (feat. Ricky Martin),Maluma,https://i.scdn.co/image/ab67616d0000b273073bc2070f7fa02b2a6bda64,82,latin,latin pop
Writing on the Wall (feat. Post Malone & Cardi B),French Montana,https://i.scdn.co/image/ab67616d0000b2730f8fbe43a3801b86826e9341,82,latin,latin pop
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,https://i.scdn.co/image/ab67616d0000b27393b1e96fad758869d0974162,82,rap,hip hop
Losing My Religion,R.E.M.,https://i.scdn.co/image/ab67616d0000b273e2dd4e821bcc3f70dc0c8ffd,81,pop,post-teen pop
Fix You,Coldplay,https://i.scdn.co/image/ab67616d0000b2735f86467ff3b8221f3c9039b4,81,pop,electropop
Mask Off,Future,https://i.scdn.co/image/ab67616d0000b273e0b64c8be3c4e804abcb2696,81,pop,electropop
ilomilo,Billie Eilish,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,81,r&b,urban contemporary
I,Lil Skies,https://i.scdn.co/image/ab67616d0000b273152113a8352cdf317dc5a6cb,81,pop,electropop
What I Like About You (feat. Theresa Rex),Jonas Blue,https://i.scdn.co/image/ab67616d0000b27376dd13e4fcaa82a84a5d9ca6,81,pop,dance pop
Without You (feat. Sandro Cavazza),Avicii,https://i.scdn.co/image/ab67616d0000b273a26cc58b4d64c2ece3376389,81,pop,dance pop
Yellow,Coldplay,https://i.scdn.co/image/ab67616d0000b27345e735e3fc6f0c157d484982,81,pop,electropop
Sweater Weather,The Neighbourhood,https://i.scdn.co/image/ab67616d0000b2737177fb5667cdafd34b871257,81,pop,indie poptimism
listen before i go,Billie Eilish,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,81,r&b,urban contemporary
Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch,https://i.scdn.co/image/ab67616d0000b273600adbc750285ea1a8da249f,81,rap,hip hop
Californication,Red Hot Chili Peppers,https://i.scdn.co/image/ab67616d0000b27394d08ab63e57b0cae74e8595,81,rock,classic rock
